question_id,question,expected_answer,source_document,page,question_type,difficulty,language
Q01,What was the national DPT-HepB-Hib3 vaccination coverage in FY 2080/81?,96%,Annual Health Report 2080/81,54,Numerical,Easy,English
Q02,Which province had the highest DPT-HepB-Hib3 coverage in FY 2080/81?,"Gandaki Province, 109%",Annual Health Report 2080/81,54,Comparative,Moderate,English
Q03,What was the national MR1 vaccination coverage in FY 2080/81?,100%,Annual Health Report 2080/81,54,Numerical,Easy,English
Q04,What was the national Td vaccination coverage among pregnant women in FY 2080/81?,68%,Annual Health Report 2080/81,54,Numerical,Easy,English
Q05,"What was Nepal's TB case notification rate per 100,000 population in FY 2080/81?","135.2 per 100,000",Annual Health Report 2080/81,301,Numerical,Moderate,English
Q06,What proportion of TB patients achieved treatment success in FY 2080/81?,91.5%,Annual Health Report 2080/81,301,Numerical,Moderate,English
Q07,What percentage of PLHIV were receiving ART among estimated PLHIV in FY 2080/81?,87%,Annual Health Report 2080/81,301,Numerical,Moderate,English
Q08,What proportion of pregnant women completed eight ANC visits according to the revised protocol in FY 2081/82?,57.13%,Annual Health Report 2081/82,21,Numerical,Easy,English
Q09,What was the national institutional delivery coverage in FY 2081/82?,73.39%,Annual Health Report 2081/82,22,Numerical,Easy,English
Q10,Which province had the highest institutional delivery coverage?,"Lumbini Province, 87.7%",Annual Health Report 2081/82,22,Comparative,Moderate,English
Q11,What was the national rate of deliveries attended by skilled health personnel?,69.89%,Annual Health Report 2081/82,22,Numerical,Moderate,English
Q12,"How many girls were covered by HPV vaccination in FY 2081/82, and what proportion of the target did this represent?",1.45 million girls; 94% of the target population,Annual Health Report 2081/82,38,Numerical,Moderate,English
Q13,What was Nepal's national caesarean-section rate in FY 2081/82?,29.75%,Annual Health Report 2081/82,32,Numerical,Moderate,English
Q14,How many hospitals and districts were covered by the MPDSR program in FY 2081/82?,130 hospitals and 57 districts,Annual Health Report 2081/82,19,Direct factual,Moderate,English
Q15,How many maternal and perinatal deaths were identified through MPDSR in FY 2081/82?,"148 maternal deaths and 2,630 perinatal deaths",Annual Health Report 2081/82,19,Numerical,Moderate,English
Q16,How many DOTS centers and DR-TB treatment centers were operating in FY 2081/82?,"6,241 DOTS centers and 31 DR-TB treatment centers",Annual Health Report 2081/82,182,Table,Moderate,English
Q17,What is the vision of Nepal's National e-Health Strategy?,E-Health facilitates equitable and high-quality healthcare services so that all Nepali citizens can enjoy productive and quality lives.,National eHealth Strategy 2017,9,Policy,Easy,English
Q18,What is the mission of the National e-Health Strategy?,"To strengthen Nepal's health systems through better use of information and evidence in planning, management and public-health/clinical interventions.",National eHealth Strategy 2017,9,Policy,Moderate,English
Q19,What are the four guiding principles of the National e-Health Strategy?,"Right to health information; people-centred approaches; collaboration/partnership; cost-effective, standardized, efficient, interoperable and user-friendly solutions.",National eHealth Strategy 2017,10,Policy,Hard,English
Q20,What are the three strategic pillars of the National e-Health Strategy?,Governance and Foundation; Change and Adoption; Solutions.,National eHealth Strategy 2017,10,Direct factual,Easy,English
Q21,What is the goal of the National e-Health Strategy?,"To harness ICT technologies to improve health services, health governance and management.",National eHealth Strategy 2017,11,Policy,Easy,English
Q22,What are the six intended outcomes of the National e-Health Strategy?,"Two for population, two for health clients, one for health workers and one for public-health managers/decision makers.",National eHealth Strategy 2017,11,Structured retrieval,Hard,English
Q23,What was Nepal's MMR according to the 2025 Health Fact Sheets?,"151 per 100,000 live births",Nepal Health Fact Sheets 2025,18-19,Numerical,Easy,English
Q24,Which province had the highest MMR in the 2025 Fact Sheets?,"Lumbini Province, 207 per 100,000 live births",Nepal Health Fact Sheets 2025,18-19,Comparative,Moderate,English
