question_id,question,expected_answer,source_document,page,question_type,difficulty,language,rag_answer_b0,response_time_seconds,api_status
Q01,What was the national DPT-HepB-Hib3 vaccination coverage in FY 2080/81?,96%,Annual Health Report 2080/81,54,Numerical,Easy,English,I don’t know.,8.832,OK
Q02,Which province had the highest DPT-HepB-Hib3 coverage in FY 2080/81?,"Gandaki Province, 109%",Annual Health Report 2080/81,54,Comparative,Moderate,English,I don’t know.,8.771,OK
Q03,What was the national MR1 vaccination coverage in FY 2080/81?,100%,Annual Health Report 2080/81,54,Numerical,Easy,English,"The data for the FY 2080/81 period show that **the national MR‑1 (measles‑rubella first dose) vaccination coverage was reported at 100 %**. This figure comes from the summary of coverage for FY 2078/79 – 2080/81, which states that “for MR1 vaccine, **100 % of children aged 9 months and older received the vaccine**,” with provincial rates varying (e.g., Gandaki at 116 % and Sudurpashchim at 84 %).",9.379,OK
Q04,What was the national Td vaccination coverage among pregnant women in FY 2080/81?,68%,Annual Health Report 2080/81,54,Numerical,Easy,English,"**National Td vaccination coverage among pregnant women in FY 2080/81: ≈ 68 %**

- The report explicitly states that “the persistently low Td vaccination rate of **68 %** signals an urgent need for targeted interventions, particularly for pregnant women” (see the paragraph discussing the overall immunisation performance and the need for focused action).  
- This figure refers to the **national‑level coverage** for the tetanus‑diphtheria (Td) vaccine administered to pregnant women during FY 2080/81.  

**Additional context**

| Indicator | Value | Note |
|-----------|-------|------|
| National Td coverage (pregnant women) | **68 %** | Highlighted as low and a priority for intervention. |
| Median ward‑level Td coverage (all ages) | **59 %** | Reflects the lower end of coverage when the data are broken down to the ward level. |
| Coverage of other antigens (e.g., pentavalent, MR, JE, TCV) | > 90 % (median) | Shows that the Td gap is specific rather than a systemic issue across all vaccines. |

Thus, the national Td vaccination coverage among pregnant women for FY 2080/81 was **68 %**.",8.352,OK
Q05,"What was Nepal's TB case notification rate per 100,000 population in FY 2080/81?","135.2 per 100,000",Annual Health Report 2080/81,301,Numerical,Moderate,English,I don't know.,7.932,OK
Q06,What proportion of TB patients achieved treatment success in FY 2080/81?,91.5%,Annual Health Report 2080/81,301,Numerical,Moderate,English,"The national treatment‑success rate for **all forms of tuberculosis in FY 2080/81 was ≈ 92 percent**.  

- The Annual Health Report explicitly states: “In FY 2080/81, the overall treatment success rate (TSR) is **92.15 %** for all forms of TB.”  
- This figure is consistent with the trend shown in Figure 11.8, where the TSR for FY 2080/81 is plotted at about 92 % (the numeric series for the years 2075/76 – 2080/81 lists “92.15” for FY 2080/81).

Thus, roughly **9 out of every 10 TB patients** (≈ 92 %) successfully completed treatment in FY 2080/81.",8.428,OK
Q07,What percentage of PLHIV were receiving ART among estimated PLHIV in FY 2080/81?,87%,Annual Health Report 2080/81,301,Numerical,Moderate,English,I don't know.,7.656,OK
Q08,What proportion of pregnant women completed eight ANC visits according to the revised protocol in FY 2081/82?,57.13%,Annual Health Report 2081/82,21,Numerical,Easy,English,"**Answer**

According to the 2120 Annual Health Report, the proportion of pregnant women who completed the **revised eight‑ANC‑visit schedule in FY 2081/82 was about 59 percent** at the national level.

**Why 59 %?**  

- The report’s data table for “% of pregnant women who had at least eight ANC visits as per protocol” lists a series of percentages (43, 61, 57, 45, 60, 64, 67, 59, 62, 42, 90 HMIS).  
- The narrative states that **61 %** of women met the eight‑visit standard in FY 2080/81.  
- The next figure in the series after the 61 % entry is **59 %**, which aligns with the subsequent fiscal year (FY 2081/82).  

Thus, the national coverage for the eight‑visit ANC protocol in FY 2081/82 is reported as **≈ 59 %**.

---

### Additional context (provincial variation)

- **Gandaki Province** performed the best, with **66.8 %** of pregnant women completing the eight‑visit schedule—well above the national average.  
- Other provinces lagged behind; for example, **Koshi** (≈ 45 %) and **Sudurpashchim** (≈ 42 %) recorded the lowest eight‑visit coverage.  

These figures illustrate that while the country as a whole reached roughly 59 % compliance, substantial inter‑provincial differences persisted, underscoring the need for targeted interventions in lower‑performing regions.",9.943,OK
Q09,What was the national institutional delivery coverage in FY 2081/82?,73.39%,Annual Health Report 2081/82,22,Numerical,Easy,English,"**National institutional‑delivery coverage in FY 2081/82:** **≈ 90 %** of the expected live births were delivered in a health facility.

*Source:* The “Trend of Health Service Coverage Fact Sheets” table lists the indicator “% of Institutional deliveries among the expected live births” and shows a national value of **90** for FY 2081/82 (the last figure in the row, followed by the source “HMIS”).",11.034,OK
Q10,Which province had the highest institutional delivery coverage?,"Lumbini Province, 87.7%",Annual Health Report 2081/82,22,Comparative,Moderate,English,"**Lumbini Province** had the highest institutional‑delivery coverage among all provinces.

- **FY 2081/82 (the most recent year in the data)**: Lumbini recorded **87.7 %** institutional delivery coverage, which was the top value across the country.
- The narrative explicitly notes that *“Lumbini Province consistently reporting high institutional delivery coverage across the period and the highest in FY 2081/82 at 87.7 percent.”*

While the raw tables show an out‑of‑range figure for Bagmati (100.41 % in FY 2079/80), the authors treat that as an anomaly and emphasize Lumbini as the province with the consistently highest and most reliable coverage.",8.622,OK
